domain,status,premium,reg_price,renew_price
azure.quest,UNAVAILABLE,0,1.54,12.98
azure.mom,UNAVAILABLE,0,1.54,26.26
azure.beauty,UNAVAILABLE,0,1.54,12.98
azure.beer,UNAVAILABLE,0,1.54,26.26
azure.best,AVAILABLE,1,76.94,76.94
azure.click,AVAILABLE,1,382.61,546.35
azure.garden,UNAVAILABLE,1,873.85,27.82
azure.hair,AVAILABLE,0,1.54,12.98
azure.monster,UNAVAILABLE,0,1.54,12.98
azure.rest,AVAILABLE,0,1.54,26.26
azure.skin,UNAVAILABLE,0,1.54,12.98
azure.surf,AVAILABLE,1,87.86,27.82
bairn.lol,AVAILABLE,0,1.54,26.26
bairn.space,UNAVAILABLE,0,1.96,26.26
bairn.pics,AVAILABLE,0,1.54,26.26
bairn.quest,AVAILABLE,0,1.54,12.98
bairn.mom,AVAILABLE,0,1.54,26.26
bairn.beauty,AVAILABLE,0,1.54,12.98
bairn.beer,AVAILABLE,0,1.54,26.26
bairn.best,AVAILABLE,0,1.72,15.96
bairn.click,AVAILABLE,1,76.94,109.69
bairn.garden,AVAILABLE,0,1.54,26.26
bairn.hair,AVAILABLE,0,1.54,12.98
bairn.monster,AVAILABLE,0,1.54,12.98
bairn.rest,AVAILABLE,0,1.54,26.26
bairn.skin,AVAILABLE,0,1.54,12.98
bairn.surf,AVAILABLE,0,1.54,26.26
balk.lol,AVAILABLE,0,1.54,26.26
balk.space,AVAILABLE,1,68.75,273.44
balk.pics,AVAILABLE,0,1.54,26.26
balk.quest,AVAILABLE,0,1.54,12.98
balk.mom,AVAILABLE,0,1.54,26.26
balk.beauty,AVAILABLE,0,1.54,12.98
balk.beer,AVAILABLE,1,44.19,27.82
balk.best,AVAILABLE,0,1.72,15.96
balk.click,AVAILABLE,1,76.94,109.69
balk.garden,AVAILABLE,0,1.54,26.26
balk.hair,AVAILABLE,0,1.54,12.98
balk.monster,AVAILABLE,0,1.54,12.98
balk.rest,AVAILABLE,0,1.54,26.26
balk.skin,AVAILABLE,0,1.54,12.98
balk.surf,AVAILABLE,0,1.54,26.26
balmy.lol,AVAILABLE,0,1.54,26.26
balmy.space,PENDING,0,0.00,0.00
balmy.pics,AVAILABLE,0,1.54,26.26
balmy.quest,AVAILABLE,0,1.54,12.98
balmy.mom,AVAILABLE,0,1.54,26.26
balmy.beauty,AVAILABLE,0,1.54,12.98
balmy.beer,AVAILABLE,0,1.54,26.26
balmy.best,AVAILABLE,0,1.72,15.96
balmy.click,AVAILABLE,1,76.94,109.69
balmy.garden,AVAILABLE,0,1.54,26.26
balmy.hair,AVAILABLE,0,1.54,12.98
balmy.monster,AVAILABLE,0,1.54,12.98
balmy.rest,AVAILABLE,0,1.54,26.26
balmy.skin,AVAILABLE,0,1.54,12.98
balmy.surf,AVAILABLE,0,1.54,26.26
barmy.lol,AVAILABLE,0,1.54,26.26
barmy.space,AVAILABLE,1,136.98,546.35
barmy.pics,AVAILABLE,0,1.54,26.26
barmy.quest,AVAILABLE,0,1.54,12.98
barmy.mom,AVAILABLE,0,1.54,26.26
barmy.beauty,AVAILABLE,0,1.54,12.98
barmy.beer,AVAILABLE,0,1.54,26.26
barmy.best,AVAILABLE,0,1.72,15.96
barmy.click,AVAILABLE,1,76.94,109.69
barmy.garden,AVAILABLE,0,1.54,26.26
barmy.hair,AVAILABLE,0,1.54,12.98
barmy.monster,AVAILABLE,0,1.54,12.98
barmy.rest,AVAILABLE,0,1.54,26.26
barmy.skin,AVAILABLE,0,1.54,12.98
barmy.surf,AVAILABLE,0,1.54,26.26
bash.lol,UNAVAILABLE,0,1.54,26.26
bash.space,AVAILABLE,1,273.44,1092.18
bash.pics,AVAILABLE,0,1.54,26.26
bash.quest,PENDING,0,0.00,0.00
bash.mom,AVAILABLE,1,710.10,710.10
bash.beauty,PENDING,0,0.00,0.00
bash.beer,PENDING,0,0.00,0.00
bash.best,PENDING,0,0.00,0.00
bash.click,AVAILABLE,1,382.61,546.35
bash.garden,PENDING,0,0.00,0.00
bash.hair,PENDING,0,0.00,0.00
bash.monster,PENDING,0,0.00,0.00
bash.rest,AVAILABLE,0,1.54,26.26
bash.skin,PENDING,0,0.00,0.00
bash.surf,PENDING,0,0.00,0.00
bask.lol,UNAVAILABLE,0,1.54,26.26
bask.space,UNAVAILABLE,0,1.96,26.26
bask.pics,UNAVAILABLE,0,1.54,26.26
bask.quest,AVAILABLE,0,1.54,12.98
bask.mom,UNAVAILABLE,0,1.54,26.26
bask.beauty,UNAVAILABLE,0,1.54,12.98
bask.beer,UNAVAILABLE,0,1.54,26.26
bask.best,AVAILABLE,0,1.72,15.96
bask.click,AVAILABLE,1,76.94,109.69
bask.garden,AVAILABLE,0,1.54,26.26
bask.hair,UNAVAILABLE,0,1.54,12.98
bask.monster,AVAILABLE,0,1.54,12.98
bask.rest,AVAILABLE,0,1.54,26.26
bask.skin,AVAILABLE,0,1.54,12.98
bask.surf,UNAVAILABLE,0,1.54,26.26
batty.lol,UNAVAILABLE,0,1.54,26.26
batty.space,UNAVAILABLE,1,68.75,273.44
batty.pics,AVAILABLE,0,1.54,26.26
batty.quest,AVAILABLE,0,1.54,12.98
batty.mom,AVAILABLE,0,1.54,26.26
batty.beauty,AVAILABLE,0,1.54,12.98
batty.beer,AVAILABLE,0,1.54,26.26
batty.best,AVAILABLE,0,1.72,15.96
batty.click,AVAILABLE,1,76.94,109.69
batty.garden,AVAILABLE,0,1.54,26.26
batty.hair,AVAILABLE,0,1.54,12.98
batty.monster,AVAILABLE,0,1.54,12.98
batty.rest,AVAILABLE,0,1.54,26.26
batty.skin,AVAILABLE,0,1.54,12.98
batty.surf,AVAILABLE,0,1.54,26.26
berk.lol,UNAVAILABLE,0,1.54,26.26
berk.space,AVAILABLE,1,68.75,273.44
berk.pics,AVAILABLE,0,1.54,26.26
berk.quest,AVAILABLE,0,1.54,12.98
berk.mom,UNAVAILABLE,0,1.54,26.26
berk.beauty,AVAILABLE,0,1.54,12.98
berk.beer,AVAILABLE,0,1.54,26.26
berk.best,AVAILABLE,0,1.72,15.96
berk.click,AVAILABLE,1,76.94,109.69
berk.garden,AVAILABLE,0,1.54,26.26
berk.hair,AVAILABLE,0,1.54,12.98
berk.monster,AVAILABLE,0,1.54,12.98
berk.rest,AVAILABLE,0,1.54,26.26
berk.skin,AVAILABLE,0,1.54,12.98
berk.surf,AVAILABLE,0,1.54,26.26
beset.lol,AVAILABLE,0,1.54,26.26
beset.space,UNAVAILABLE,0,1.96,26.26
beset.pics,AVAILABLE,0,1.54,26.26
beset.quest,AVAILABLE,0,1.54,12.98
beset.mom,AVAILABLE,0,1.54,26.26
beset.beauty,AVAILABLE,0,1.54,12.98
