domain,status,premium,reg_price,renew_price
  💰 PREMIUM: jade.surf reg=$87.86
jade.lol,UNAVAILABLE,0,1.54,26.26
jade.space,AVAILABLE,1,1365.10,5458.82
jade.pics,UNAVAILABLE,0,1.54,26.26
jade.quest,UNAVAILABLE,0,1.54,12.98
jade.mom,AVAILABLE,0,1.54,26.26
jade.beauty,UNAVAILABLE,0,1.54,12.98
jade.beer,UNAVAILABLE,0,1.54,26.26
jade.best,AVAILABLE,0,1.72,15.96
jade.click,AVAILABLE,1,764.69,1092.18
jade.garden,AVAILABLE,1,873.85,27.82
jade.hair,AVAILABLE,0,1.54,12.98
jade.monster,UNAVAILABLE,0,1.54,12.98
jade.rest,AVAILABLE,1,138.07,197.02
jade.skin,UNAVAILABLE,0,1.54,12.98
jade.surf,AVAILABLE,1,87.86,27.82
  💰 PREMIUM: mint.space reg=$1365.10
  💰 PREMIUM: mint.mom reg=$710.10
  💰 PREMIUM: mint.hair reg=$2183.84
  💰 PREMIUM: mint.monster reg=$546.35
  💰 PREMIUM: mint.rest reg=$1719.89
  💰 PREMIUM: mint.skin reg=$2183.84
mint.lol,UNAVAILABLE,0,1.54,26.26
mint.space,AVAILABLE,1,1365.10,5458.82
mint.pics,UNAVAILABLE,0,1.54,26.26
mint.quest,UNAVAILABLE,1,710.10,13.74
mint.mom,AVAILABLE,1,710.10,710.10
mint.beauty,UNAVAILABLE,1,2183.84,13.74
mint.beer,UNAVAILABLE,0,1.54,26.26
mint.best,UNAVAILABLE,0,1.72,15.96
mint.click,UNAVAILABLE,0,1.54,10.81
mint.garden,UNAVAILABLE,1,87.86,27.82
mint.hair,AVAILABLE,1,2183.84,13.74
mint.monster,AVAILABLE,1,546.35,13.74
mint.rest,AVAILABLE,1,1719.89,2456.76
mint.skin,AVAILABLE,1,2183.84,13.74
mint.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: rose.space reg=$682.81
  💰 PREMIUM: rose.quest reg=$710.10
  💰 PREMIUM: rose.beauty reg=$2183.84
  💰 PREMIUM: rose.best reg=$76.94
  💰 PREMIUM: rose.click reg=$76.94
  💰 PREMIUM: rose.hair reg=$2183.84
  💰 PREMIUM: rose.monster reg=$546.35
  💰 PREMIUM: rose.skin reg=$2183.84
  💰 PREMIUM: rose.surf reg=$87.86
rose.lol,UNAVAILABLE,0,1.54,26.26
rose.space,AVAILABLE,1,682.81,2729.67
rose.pics,UNAVAILABLE,0,1.54,26.26
rose.quest,AVAILABLE,1,710.10,13.74
rose.mom,UNAVAILABLE,1,109.69,109.69
rose.beauty,AVAILABLE,1,2183.84,13.74
rose.beer,UNAVAILABLE,0,1.54,26.26
rose.best,AVAILABLE,1,76.94,76.94
rose.click,AVAILABLE,1,76.94,109.69
rose.garden,UNAVAILABLE,1,873.85,873.85
rose.hair,AVAILABLE,1,2183.84,13.74
rose.monster,AVAILABLE,1,546.35,13.74
rose.rest,UNAVAILABLE,0,1.54,26.26
rose.skin,AVAILABLE,1,2183.84,13.74
rose.surf,AVAILABLE,1,87.86,27.82
  💰 PREMIUM: lush.space reg=$273.44
  💰 PREMIUM: lush.pics reg=$2183.84
  💰 PREMIUM: lush.quest reg=$2183.84
  💰 PREMIUM: lush.mom reg=$2183.84
  💰 PREMIUM: lush.beauty reg=$2183.84
  ✓ CHEAP: lush.best reg=$1.72 renew=$15.96
  💰 PREMIUM: lush.click reg=$382.61
  💰 PREMIUM: lush.hair reg=$2183.84
  ✓ CHEAP: lush.monster reg=$1.54 renew=$12.98
  💰 PREMIUM: lush.rest reg=$344.40
  💰 PREMIUM: lush.skin reg=$2183.84
  ✓ CHEAP: lush.surf reg=$1.54 renew=$26.26
lush.lol,UNAVAILABLE,0,1.54,26.26
lush.space,AVAILABLE,1,273.44,1092.18
lush.pics,AVAILABLE,1,2183.84,2183.84
lush.quest,AVAILABLE,1,2183.84,2183.84
lush.mom,AVAILABLE,1,2183.84,2183.84
lush.beauty,AVAILABLE,1,2183.84,2183.84
lush.beer,UNAVAILABLE,0,1.54,26.26
lush.best,AVAILABLE,0,1.72,15.96
lush.click,AVAILABLE,1,382.61,546.35
lush.garden,UNAVAILABLE,0,1.54,26.26
lush.hair,AVAILABLE,1,2183.84,2183.84
lush.monster,AVAILABLE,0,1.54,12.98
lush.rest,AVAILABLE,1,344.40,491.77
lush.skin,AVAILABLE,1,2183.84,2183.84
lush.surf,AVAILABLE,0,1.54,26.26
  💰 PREMIUM: wild.lol reg=$710.10
  💰 PREMIUM: wild.quest reg=$710.10
  💰 PREMIUM: wild.mom reg=$710.10
  💰 PREMIUM: wild.beauty reg=$2183.84
  💰 PREMIUM: wild.click reg=$382.61
  💰 PREMIUM: wild.hair reg=$2183.84
  💰 PREMIUM: wild.rest reg=$344.40
  💰 PREMIUM: wild.skin reg=$2183.84
wild.lol,AVAILABLE,1,710.10,710.10
wild.space,UNAVAILABLE,1,68.75,273.44
wild.pics,UNAVAILABLE,0,1.54,26.26
wild.quest,AVAILABLE,1,710.10,13.74
wild.mom,AVAILABLE,1,710.10,710.10
wild.beauty,AVAILABLE,1,2183.84,13.74
wild.beer,UNAVAILABLE,0,1.54,26.26
wild.best,UNAVAILABLE,0,1.72,15.96
wild.click,AVAILABLE,1,382.61,546.35
wild.garden,UNAVAILABLE,1,87.86,27.82
wild.hair,AVAILABLE,1,2183.84,13.74
wild.monster,UNAVAILABLE,0,1.54,12.98
wild.rest,AVAILABLE,1,344.40,491.77
wild.skin,AVAILABLE,1,2183.84,13.74
wild.surf,UNAVAILABLE,1,44.19,27.82
  💰 PREMIUM: long.lol reg=$710.10
  💰 PREMIUM: long.space reg=$273.44
  💰 PREMIUM: long.quest reg=$710.10
  💰 PREMIUM: long.mom reg=$710.10
  💰 PREMIUM: long.beauty reg=$710.10
  💰 PREMIUM: long.best reg=$76.94
