domain,status,premium,reg_price,renew_price
beech.monster,AVAILABLE,0,1.54,12.98
beech.rest,UNAVAILABLE,0,1.54,26.26
beech.skin,AVAILABLE,0,1.54,12.98
beech.surf,AVAILABLE,0,1.54,26.26
berm.lol,AVAILABLE,0,1.54,26.26
berm.space,AVAILABLE,1,27.82,109.69
berm.pics,UNAVAILABLE,0,1.54,26.26
berm.quest,AVAILABLE,0,1.54,12.98
berm.mom,AVAILABLE,0,1.54,26.26
berm.beauty,AVAILABLE,0,1.54,12.98
berm.beer,AVAILABLE,0,1.54,26.26
berm.best,AVAILABLE,0,1.72,15.96
berm.click,AVAILABLE,1,76.94,109.69
berm.garden,AVAILABLE,0,1.54,26.26
berm.hair,AVAILABLE,0,1.54,12.98
berm.monster,AVAILABLE,0,1.54,12.98
berm.rest,AVAILABLE,0,1.54,26.26
berm.skin,AVAILABLE,0,1.54,12.98
berm.surf,AVAILABLE,0,1.54,26.26
betta.lol,UNAVAILABLE,0,1.54,26.26
betta.space,UNAVAILABLE,0,1.96,26.26
betta.pics,AVAILABLE,0,1.54,26.26
betta.quest,AVAILABLE,0,1.54,12.98
betta.mom,AVAILABLE,0,1.54,26.26
betta.beauty,AVAILABLE,0,1.54,12.98
betta.beer,UNAVAILABLE,0,1.54,26.26
betta.best,UNAVAILABLE,0,1.72,15.96
betta.click,AVAILABLE,1,76.94,109.69
betta.garden,AVAILABLE,0,1.54,26.26
betta.hair,AVAILABLE,0,1.54,12.98
betta.monster,AVAILABLE,0,1.54,12.98
betta.rest,AVAILABLE,0,1.54,26.26
betta.skin,AVAILABLE,0,1.54,12.98
betta.surf,AVAILABLE,0,1.54,26.26
birch.lol,AVAILABLE,0,1.54,26.26
birch.space,AVAILABLE,1,136.98,546.35
birch.pics,AVAILABLE,0,1.54,26.26
birch.quest,UNAVAILABLE,0,1.54,12.98
birch.mom,AVAILABLE,0,1.54,26.26
birch.beauty,AVAILABLE,0,1.54,12.98
birch.beer,UNAVAILABLE,0,1.54,26.26
birch.best,AVAILABLE,0,1.72,15.96
birch.click,AVAILABLE,0,1.54,10.81
birch.garden,AVAILABLE,0,1.54,26.26
birch.hair,AVAILABLE,0,1.54,12.98
birch.monster,AVAILABLE,0,1.54,12.98
birch.rest,AVAILABLE,0,1.54,26.26
birch.skin,AVAILABLE,0,1.54,12.98
birch.surf,AVAILABLE,0,1.54,26.26
blanch.lol,AVAILABLE,0,1.54,26.26
blanch.space,AVAILABLE,1,68.75,273.44
blanch.pics,AVAILABLE,0,1.54,26.26
blanch.quest,AVAILABLE,0,1.54,12.98
blanch.mom,AVAILABLE,0,1.54,26.26
blanch.beauty,AVAILABLE,0,1.54,12.98
blanch.beer,AVAILABLE,1,44.19,27.82
blanch.best,AVAILABLE,0,1.72,15.96
blanch.click,AVAILABLE,0,1.54,10.81
blanch.garden,AVAILABLE,0,1.54,26.26
blanch.hair,AVAILABLE,0,1.54,12.98
blanch.monster,AVAILABLE,0,1.54,12.98
blanch.rest,AVAILABLE,0,1.54,26.26
blanch.skin,AVAILABLE,0,1.54,12.98
blanch.surf,AVAILABLE,0,1.54,26.26
bleak.lol,UNAVAILABLE,0,1.54,26.26
bleak.space,AVAILABLE,1,136.98,546.35
bleak.pics,AVAILABLE,0,1.54,26.26
bleak.quest,UNAVAILABLE,0,1.54,12.98
bleak.mom,AVAILABLE,0,1.54,26.26
bleak.beauty,AVAILABLE,0,1.54,12.98
bleak.beer,PENDING,0,0.00,0.00
bleak.best,AVAILABLE,0,1.72,15.96
bleak.click,AVAILABLE,1,76.94,109.69
bleak.garden,PENDING,0,0.00,0.00
bleak.hair,AVAILABLE,0,1.54,12.98
bleak.monster,UNAVAILABLE,0,1.54,12.98
bleak.rest,AVAILABLE,0,1.54,26.26
bleak.skin,AVAILABLE,0,1.54,12.98
bleak.surf,PENDING,0,0.00,0.00
blight.lol,UNAVAILABLE,0,1.54,26.26
blight.space,AVAILABLE,1,68.75,273.44
blight.pics,AVAILABLE,0,1.54,26.26
blight.quest,UNAVAILABLE,0,1.54,12.98
blight.mom,AVAILABLE,0,1.54,26.26
blight.beauty,AVAILABLE,0,1.54,12.98
blight.beer,UNAVAILABLE,0,1.54,26.26
blight.best,AVAILABLE,0,1.72,15.96
blight.click,AVAILABLE,0,1.54,10.81
blight.garden,AVAILABLE,0,1.54,26.26
blight.hair,AVAILABLE,0,1.54,12.98
blight.monster,AVAILABLE,0,1.54,12.98
blight.rest,AVAILABLE,0,1.54,26.26
blight.skin,AVAILABLE,0,1.54,12.98
blight.surf,AVAILABLE,0,1.54,26.26
bliss.lol,UNAVAILABLE,0,1.54,26.26
bliss.space,AVAILABLE,1,682.81,2729.67
bliss.pics,AVAILABLE,0,1.54,26.26
bliss.quest,UNAVAILABLE,0,1.54,12.98
bliss.mom,UNAVAILABLE,0,1.54,26.26
bliss.beauty,AVAILABLE,1,2183.84,2183.84
